cM,Population,Method,PCs,l2
20,MXL,cov-LDSR,10,82.7308
30,MXL,cov-LDSR,10,103.5743
0,AFR,LDSR,0,0
1,AFR,LDSR,0,12.1819
2,AFR,LDSR,0,12.7402
5,AFR,LDSR,0,13.9807
10,AFR,LDSR,0,15.6281
20,AFR,LDSR,0,17.911
30,AFR,LDSR,0,19.4384
50,AFR,LDSR,0,21.6829
0,AFR,cov-LDSR,10,0
1,AFR,cov-LDSR,10,11.7891
2,AFR,cov-LDSR,10,12.0963
5,AFR,cov-LDSR,10,12.6772
10,AFR,cov-LDSR,10,13.3442
20,AFR,cov-LDSR,10,14.1348
30,AFR,cov-LDSR,10,14.5863
50,AFR,cov-LDSR,10,15.2372
0,SAS,LDSR,0,0
1,SAS,LDSR,0,20.2629
2,SAS,LDSR,0,20.4881
5,SAS,LDSR,0,20.7697
10,SAS,LDSR,0,21.0416
20,SAS,LDSR,0,21.4259
30,SAS,LDSR,0,21.7577
50,SAS,LDSR,0,22.3298
0,SAS,cov-LDSR,10,0
1,SAS,cov-LDSR,10,20.1496
2,SAS,cov-LDSR,10,20.3524
5,SAS,cov-LDSR,10,20.6219
10,SAS,cov-LDSR,10,20.925
20,SAS,cov-LDSR,10,21.3853
30,SAS,cov-LDSR,10,21.8287
50,SAS,cov-LDSR,10,22.6067
